Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism
BAO79518.1	AB917040	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation
CWV56762.1	FFFO01000009.1	fosfomycin thiol transferase	fosfomycin	antibiotic inactivation
CAA54602.1	X77455	FOX beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AGE45503.1	JX049131	FOX beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
CAA71325.1	Y10282	FOX beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
CAA71947.1	Y11068	FOX beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
CAB89086.1	AJ277535	FOX beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AAG12974.1	AY007369	FOX beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
CAG28256.1	AJ703795	FOX beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
ADK73994.1	HM565917	FOX beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AEK78851.1	JF896803	FOX beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation
AAL12234.1	AY047358	fusidic acid inactivation enzyme	fusidic acid	antibiotic inactivation
WP_001033157	NC_002953	fusidic acid inactivation enzyme	fusidic acid	antibiotic inactivation
WP_011303797	NZ_CP014057	fusidic acid inactivation enzyme	fusidic acid	antibiotic inactivation
CAA90432.1	Z50108	fusidic acid inactivation enzyme	fusidic acid	antibiotic inactivation
ANK04027.1	CP015085.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;penam	antibiotic efflux
YP_491919.1	NC_007779	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;penam	antibiotic efflux
AAF27723.1	AF156486	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
ACS73598.1	FJ820124	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
ACS44714.1	FJ854362	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
CBG22732.1	FN554543	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
ACZ54536.1	GU169702	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
ADC91899.1	GU207844	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
ACZ98826.1	GU208678	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
ADJ94120.1	HM173356	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
ADZ48685.1	HQ874631	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AEX59144.1	JQ028729	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AEZ05107.1	JN596280	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAK58421.1	AF326355	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AEZ05108.1	JN596280	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AFK80745.1	JQ772478	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AFU25739.1	JX023441	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AGT20529.1	KF179354	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
BAP75641.1	AB901141	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AJP67510.1	KP096411	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
BAD06399.1	AB113580	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
BAD08689.1	AB116260	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAR97270.1	AY494717	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAR97271.1	AY494718	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAP22974.1	AY260546	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAK18183.1	AF329699	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAY43207.1	AY920928	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
CAF05908.1	AJ620678	GIM beta-lactamase	monobactam;carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
AIY26289.1	KM659858	GIM beta-lactamase	monobactam;carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
CAA11707.1	AJ223970	gimA family macrolide glycosyltransferase	macrolide antibiotic	antibiotic inactivation
AAF04458.1	AF090141	GOB beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAY53478.1	DQ004496.1	GOB beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
NP_459349.1	NC_003197	resistance-nodulation-cell division (RND) antibiotic efflux pump	monobactam;carbapenem;cephalosporin;cephamycin;penam;phenicol antibiotic;penem	antibiotic efflux
NP_439290	NC_000907.1	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	monobactam;carbapenem;cephalosporin;cephamycin;penam	antibiotic target alteration
WP_014065640.1	NC_015964.1	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic;nybomycin	antibiotic target alteration
WP_041918279.1	NC_015964.1	fluoroquinolone resistant parC	fluoroquinolone antibiotic	antibiotic target alteration
AAL26797.1	AF311385.1	HERA beta-lactamase	N/A	antibiotic inactivation
AMY61250.1	KU961660	HMB beta-lactamase	carbapenem	antibiotic inactivation
WP_014550864.1	NC_017452.1	multidrug and toxic compound extrusion (MATE) transporter	fluoroquinolone antibiotic;acridine dye	antibiotic efflux
NP_309766.1	NC_002695	major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;cephalosporin;cephamycin;penam;tetracycline antibiotic	antibiotic efflux
NP_207972.1	NC_000915.1	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic;tetracycline antibiotic;nitroimidazole antibiotic	antibiotic efflux
NP_207975.1	NC_000915.1	multidrug and toxic compound extrusion (MATE) transporter	N/A	antibiotic efflux
AAA93461.1	U50278	IMI beta-lactamase	carbapenem	antibiotic inactivation
ABA00479.1	DQ173429	IMI beta-lactamase	carbapenem	antibiotic inactivation
ACX71212.1	GU015024	IMI beta-lactamase	carbapenem	antibiotic inactivation
AHE78014.1	KF958750	IMI beta-lactamase	carbapenem	antibiotic inactivation
AIS19858.1	KM103296	IMI beta-lactamase	carbapenem	antibiotic inactivation
CAD69003.1	AJ548797	CphA beta-lactamase	carbapenem	antibiotic inactivation
CAA71441.1	Y10415	CphA beta-lactamase	carbapenem	antibiotic inactivation
CAA11471.1	AJ223604	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
BAB72069.1	AB074433	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
BAB72072.1	AB074436	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
CAD12765.1	AJ420864	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
CAD80251.1	AJ550807	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
AAT49068.1	AY553332	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
AAT49070.1	AY553333	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
CAE48334.1	AJ584652	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
AEQ73520.1	JN596991	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
ABM67078.1	EF118171	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
CAB94707.1	AJ243491	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
BAD81061.1	AB196988	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
BAD89802.1	AB204557	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
ABC88434.1	DQ361087	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
ABM68358.1	EF192154	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
ACB41775.1	EU541448	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
ACY01749.1	GU045307	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
AEH41427.1	JF894248	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
AFG73659.1	JQ407409	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
AFG25462.1	JQ041634	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
BAA77393.1	AB010417	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
ABF70513.1	DQ522237	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
AGS82587.1	KF148593	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
AFR33816.1	JQ002629	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
AEU17778.1	JN848782	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
BAM38093.1	AB715422	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
AFO59566.1	JF816544	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
AFP97028.1	JX131372	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
AEN75249.1	HQ875573	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
AAK13078.1	AF244145	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
BAM62794.1	AB753457	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
BAM62795.1	AB753458	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
BAM62793.1	AB753456	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
BAM98935.1	AB777500	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
BAM98942.1	AB777501	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
AIA58910.1	KJ510410	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
AAK13430.1	AF322577	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
AIT76110.1	KM087857	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
AAK27847.1	AF290912	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
BAQ56016.1	LC031883	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
BAB15941.1	AB040994	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
AAK12087.1	AF318077	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
AAK13430.1	AF322577	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
AAK59385.1	AY033653	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
AAD20273.1	AF099139	IND beta-lactamase	carbapenem	antibiotic inactivation
ADA13241.1	GU206353	IND beta-lactamase	carbapenem	antibiotic inactivation
ADK25050.1	HM245379	IND beta-lactamase	carbapenem	antibiotic inactivation
ADK25051.1	HM245380	IND beta-lactamase	carbapenem	antibiotic inactivation
ADK38716.1	HM367709	IND beta-lactamase	carbapenem	antibiotic inactivation
BAJ14288.1	AB563173	IND beta-lactamase	carbapenem	antibiotic inactivation
AAG29757.1	AF219127	IND beta-lactamase	carbapenem	antibiotic inactivation
AAG29760.1	AF219130	IND beta-lactamase	carbapenem	antibiotic inactivation
AAG29761.2	AF219131	IND beta-lactamase	carbapenem	antibiotic inactivation
AAG29765.2	AF219135	IND beta-lactamase	carbapenem	antibiotic inactivation
AAS78754.1	AY504627	IND beta-lactamase	carbapenem	antibiotic inactivation
CAJ32373.2	AM087455	IND beta-lactamase	carbapenem	antibiotic inactivation
BAJ05825.1	AB529520	IND beta-lactamase	carbapenem	antibiotic inactivation
ACZ65152.1	GU186044	IND beta-lactamase	carbapenem	antibiotic inactivation
ACZ65153.1	GU186045	IND beta-lactamase	carbapenem	antibiotic inactivation
AAB41059.1	U56415	rifampin monooxygenase	rifamycin antibiotic	antibiotic inactivation
AAK38324.1	AY028464	JOHN beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
WP_063964000.1	NG_050561.1	16S rRNA methyltransferase (A1408)	aminoglycoside antibiotic	antibiotic target alteration
NP_415222.1	NC_000913.3	kdpDE	aminoglycoside antibiotic	antibiotic efflux
BAF91108.1	AB364006	KHM beta-latamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation
CDO13981.1	FO834906.1	ATP-binding cassette (ABC) antibiotic efflux pump;pmr phosphoethanolamine transferase	macrolide antibiotic;peptide antibiotic	antibiotic target alteration;antibiotic efflux
CAC41008.1	AJ318073.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;cephalosporin;glycylcycline;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan	antibiotic efflux
ABR75897.1	CP000647	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;cephalosporin;glycylcycline;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan	antibiotic target alteration;antibiotic efflux
YP_005226137.1	NC_016845.1	General Bacterial Porin with reduced permeability to beta-lactams	monobactam;carbapenem;cephalosporin;cephamycin;penam;penem	reduced permeability to antibiotic;resistance by absence
YP_005228001.1	NC_016845.1	General Bacterial Porin with reduced permeability to beta-lactams	monobactam;carbapenem;cephalosporin;cephamycin;penam;penem	reduced permeability to antibiotic;resistance by absence
CAA09666	AJ011502	General Bacterial Porin with reduced permeability to beta-lactams	monobactam;carbapenem;cephalosporin;cephamycin;penam;penem	reduced permeability to antibiotic
ABR76005.1	CP000647	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;cephalosporin;glycylcycline;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan	antibiotic target alteration;antibiotic efflux
ACS35345.1	GQ140348	KPC beta-lactamase	monobactam;carbapenem;cephalosporin;penam	antibiotic inactivation
ADH95186.1	HM066995	KPC beta-lactamase	monobactam;carbapenem;cephalosporin;penam	antibiotic inactivation
ADZ75467.1	HQ641421	KPC beta-lactamase	monobactam;carbapenem;cephalosporin;penam	antibiotic inactivation
AEA73284.1	HQ342889	KPC beta-lactamase	monobactam;carbapenem;cephalosporin;penam	antibiotic inactivation
AFV48348.1	JX524191	KPC beta-lactamase	monobactam;carbapenem;cephalosporin;penam	antibiotic inactivation
AGF70638.1	KC433553	KPC beta-lactamase	monobactam;carbapenem;cephalosporin;penam	antibiotic inactivation
AGJ01153.1	KC465199	KPC beta-lactamase	monobactam;carbapenem;cephalosporin;penam	antibiotic inactivation
AGJ01154.1	KC465200	KPC beta-lactamase	monobactam;carbapenem;cephalosporin;penam	antibiotic inactivation
AIH07017.1	KJ775801	KPC beta-lactamase	monobactam;carbapenem;cephalosporin;penam	antibiotic inactivation
AAK70220.1	AY034847	KPC beta-lactamase	monobactam;carbapenem;cephalosporin;penam	antibiotic inactivation
AIX87991.1	KM379100	KPC beta-lactamase	monobactam;carbapenem;cephalosporin;penam	antibiotic inactivation
AAL05630.1	AF395881	KPC beta-lactamase	monobactam;carbapenem;cephalosporin;penam	antibiotic inactivation
AAU06362.1	AY700571	KPC beta-lactamase	monobactam;carbapenem;cephalosporin;penam	antibiotic inactivation
ABY91240.1	EU400222	KPC beta-lactamase	monobactam;carbapenem;cephalosporin;penam	antibiotic inactivation
ACB71165.1	EU555534	KPC beta-lactamase	monobactam;carbapenem;cephalosporin;penam	antibiotic inactivation
ACE62798.1	EU729727	KPC beta-lactamase	monobactam;carbapenem;cephalosporin;penam	antibiotic inactivation
ACI95258.1	FJ234412	KPC beta-lactamase	monobactam;carbapenem;cephalosporin;penam	antibiotic inactivation
ACM91559.1	FJ624872	KPC beta-lactamase	monobactam;carbapenem;cephalosporin;penam	antibiotic inactivation
CAB75346.1	AJ272109	L1 family beta-lactamase	cephalosporin	antibiotic inactivation
AAT46346.1	AY632076.1	ampC-type beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAA55007.1	X78117	CMY beta-lactamase	cephamycin	antibiotic inactivation
CAA40146.1	X56809	LCR beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAA28198.1	X04515	LEN beta-lactamase	penam;penem	antibiotic inactivation
CAG25830.1	AJ635419	LEN beta-lactamase	penam;penem	antibiotic inactivation
CAG25828.1	AJ635417	LEN beta-lactamase	penam;penem	antibiotic inactivation
CAG25817.1	AJ635406	LEN beta-lactamase	penam;penem	antibiotic inactivation
